occ10,title,egp_label,egp10_10
6800,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",VIIa,10
6820,"Earth drillers, except oil and gas",VIIa,10
6830,"Explosives workers, ordnance handling experts, and blasters",VI,9
6840,Mining machine operators,VIIa,10
6910,"Roof bolters, mining",VIIa,10
6920,"Roustabouts, oil and gas",VIIa,10
6930,Helpers--extraction workers,VIIa,10
6940,Other extraction workers,VIIa,10
7000,"First-line supervisors of mechanics, installers, and repairers",V,8
7010,"Computer, automated teller, and office machine repairers",VI,9
7020,Radio and telecommunications equipment installers and repairers,V,8
7030,Avionics technicians,V,8
7040,"Electric motor, power tool, and related repairers",V,8
7050,"Electrical and electronics installers and repairers, transportation equipment",V,8
7100,"Electrical and electronics repairers, industrial and utility",V,8
